name,idea,location,start_date,operating_years,number_employees,status,latest_funding_round
'mHospital','On-demand healthcare service enabling patients and doctors to connect via mobile app.',Torrance US,2017,3.0,11-50,,
'Postal','Automated direct mail and gifting that integrates into sales and marketing workflows',San Luis Obispo US,2019,1.0,11-50,,
'Datrics','A drag and drop AI platform',Middletown US,2019,1.0,5-10,,
'MediFind',"""The world's most advanced platform for helping patients find better care, faster.""",Philadelphia US,2020,0.0,11-50,,
'Sportlo','Sportlo is the local sports parent hub that allows users to stay connected with their youth sports community.',Houston US,2019,1.0,2,,
'RestCase','API design first platform for developing REST and Async APIs',Delaware US,2018,2.0,5-10,,
'Starkflow','Starkflow builds high performing remote teams for you.',New York US,2018,2.0,11-50,,
'Zenkit','Organize your project',Wilmington US,2016,4.0,11-50,,
'Waitwhile','Waitwhile is a smart waitlist and scheduling platform that helps 10000+ organizations bust their lines and create awesome wait experiences.',San Francisco US,2015,5.0,11-50,,
'PlanSnack','100% free business planning software that increases your business startup success dramatically and takes less than 10 mins to complete.',San Francisco US,2020,0.0,5-10,,
'Riotz','Web-app to play partygames like Werewolf over videochat with your friends and family.',Palo Alto US,2020,0.0,3,,
'Sonrai Security',"'Sonrai Security delivers an enterprise security platform focused on identity and data governance inside AWS, Azure, GCP, and Kubernetes'",New York US,2017,3.0,11-50,,
'KeepSolid Goals',"'Plan, track, stay aligned and achieve business objectives with your team'",NY US,2019,1.0,5-10,,
'OneKey',"'OneKey: 1 Keyboard with all your Productivity Apps Schedule 📆, add ✅, take 📝, CRM 👥, directly from your messaging apps 💬✉️ !'",Delaware US,2019,1.0,5-10,,
'Namesnack',"'Business name generator and domain search in one. Find creative and available domains for your startup, shop, or new business.'",Austin US,2020,0.0,1,,
'Chaine',"'Chaine is a productivity tool that helps logistics teams eliminate wasteful tasks, reduce operating costs, and get scaling superpowers.'",San Francisco US,2019,1.0,3,,
'Polygon.io',"'Financial data platform, by developers, for developers.'",Atlanta US,2017,3.0,5-10,,
'Brandly',"'Business cards for large teams, made simple'",Woodside US,2017,3.0,5-10,,
'Gignav','Future of Work SaaS',Detroit US,2019,1.0,5-10,,
'Inleven',"'A new and better way to shorten, track and share links with your team.'",Bonita US,2019,1.0,5-10,,
'DailyRemote',"'We help people find a remote job at over 2,000+ remote companies in Software Development, Design, Support, Sales etc.'",new york US,2019,1.0,2,,
'Rainforest QA','A flexible software testing platform.',San Francisco US,2012,8.0,11-50,,
'Tāne','Tāne is your home construction project assistant',San Francisco US,2020,0.0,3,,
'Ruby Media Group Inc.','PR Consulting Agency that helps Founders get Business Press through personal branding and thought leadership marketing.',New York US,2009,11.0,2,,
'Bookshlf',"'A dedicated space to help people\xa0organize,\xa0curate\xa0and\xa0discover\xa0their favorite digital content'",New York US,2019,1.0,3,,
'Post Panda','Top quality social media content that fits every budget',Virginia US,2019,1.0,5-10,,
'UI Bakery','UI Bakery – the first low-code platform which allows creating branded frontend apps based on a custom Design System',Denver US,2018,2.0,11-50,,
'HomeFlow',"'We help home buyers save time, be more confident, and manage their whole home buying experience.'",New York US,2019,1.0,1,,
'Cloudlead','CloudLead uses machine learning tools backed by human researchers to help B2B sales and marketing teams scale their outbound processes.',"San Mateo, CA US",2016,4.0,11-50,,
'Avvnue','Avvnue makes information and expertise accessible to every professional in the world through our online expert network marketplace',Houston US,2019,1.0,5-10,,
'FindNiche','Free tool for winning products',San Francisco US,2019,1.0,51-100,,
'WorcLab','Incubator and coworking space',Worcester US,2010,10.0,5-10,,
'Pigly','Solve Your Personal Finances Today',San Francisco US,2019,1.0,5-10,,
'Cereo','Cereo is a visual feedback and bug tracking tool that lets people give feedback with annotated screenshots and enriched browser data',California US,2020,0.0,1,,
'Kalshi','Kalshi is a platform where users trade on the outcome of different events to hedge against the risk of every day life.',San Francisco US,2019,1.0,5-10,,
'Blueground','Beautifully furnished apartments for business professionals and individual renters looking for a turnkey living solution.',New York US,2013,7.0,501-1k,,
'Peoplebox',"'Helping Managers build great teams with meaningful 1-on-1s, continuous feedback, motivation & performance tracking and closing key actions'",San Francisco US,2018,2.0,11-50,,
'Rebeliance','A marketplace for entrepreneurs to discover lifetime software deals and huge discounts.',Oxford US,2018,2.0,1,,
'LandSearch','Discover land that works for you',Colorado Springs US,2016,4.0,5-10,,
'Apipheny','Import APIs into Google Sheets without writing any scripts. Connect and import JSON and CSV APIs to Google Sheets quickly and easily.',San Francisco US,2020,0.0,2,,
'ZenSports','ZenSports is a peer-to-peer sports betting marketplace.',San Francisco US,2017,3.0,2,,
'SlideTeam',"""SlideTeam is the world's largest supplier of innovative PowerPoint content. You can get perfect PowerPoint themes, Slides & designs here.""",New York US,2005,15.0,51-100,,
'CloudAress','Cloudaress specialize in implementation and integration of Salesforce Marketing Cloud with other Salesforce Clouds',Woburn US,2014,6.0,5-10,,
'ERgent',"""ERgent is an ER wait time app that uses the user's GPS plus nearby ER's average wait times and features to find quick and top medical care""",Brooklyn US,2019,1.0,5-10,,
'MangoCRM','Mango is an all-in-one contact management and billing tool for small business',CHARLOTTE US,2019,1.0,2,,
'Breezy','Breezy helps you quickly find the best and most affordable insurance for your pets.',Irvine US,2019,1.0,2,,
'FRKST',"'FRKST is a 60-day Machine Learning\xa0powered Cryptocurrency\xa0Price Forecast\xa0for Bitcoin & Ethereum, generated daily.'",San Diego US,2019,1.0,1,,
'Vottun','Fostering blockchain adoption',Los Angeles US,2018,2.0,5-10,,
'Bizooy','Reputation building platform used to learn about customer experiences and generate new reviews.',Los Angeles US,2019,1.0,5-10,,
'Product School','Product School provides certified courses in Product Management and other digital skills to professionals across 16 campuses worldwide.',San Francisco US,2014,6.0,11-50,,
'Evntures',"'Evntures, a mobile advertising company, that facilitates the discovery of local events in major metropolitan areas.'",San Antonio US,2020,0.0,5-10,,
'ZingFront','Reporting Tool for Facebook ADs',Massachusetts US,2016,4.0,51-100,,
'Status Money','Status is a social financial management app that lets you compare finances with peers and get advice from people like you..',New York US,2016,4.0,11-50,,
'accelPay','Allow shoppers to build carts and purchase anywhere a merchant can place a QR code or NFC Tags.',New York US,2019,1.0,5-10,,
'Bubbles','Annotate anywhere and work in-context with your teammates.',San Francisco US,2019,1.0,4,,
'Camdog','We are providing video guard service with a new quality of service without human monitoring to keep your privacy',Claymont US,2019,1.0,5-10,,
'Convo','Convo makes planning events and sharing with your real friends easy.',Seattle US,2019,1.0,1,,
'AnyLog','Building a next generation decentralized IoT platform where data owners can capture the full value of their data',California US,2018,2.0,5-10,,
'ComeClosely','Social Network based on the event industry',New York US,2019,1.0,5-10,,
'Lofty AI','A.I. to predict future real estate prices',Oakland US,2018,2.0,3,,
'LeafList','Professional networking and reputation management for the cannabis industry.',Denver US,2019,1.0,3,,
'TimeCamp','Time tracking software that improves the profitability of your projects',Los Angeles US,2008,11.0,11-50,,
'Insured Nomads','Insurance distribution and product development for nomads and expats',Birmingham US,2019,0.0,5-10,,
'CarsXE',"""CarsXE API's a RESTful API that provides access to millions of vehicles with specs, history, ownership cost, market value, images & more!""",Highland US,2019,0.0,1,,
'Modalyst','Dropshipping automation software for ecommerce',San Francisco US,2012,7.0,11-50,,
'Narrow Security','Narrow Security Inc provides Fire Guard Services and Security Guard Services across the US.',New York US,2019,0.0,51-100,,
'OneGold',"'ONEGOLD is a marketplace where you can buy, sell, redeem and fully manage your precious metals with as little as $1.'",Oklahoma City US,2019,0.0,5-10,,
'Mr. Simon','Mr. Simon is an artificial career coach',Hillsborough US,2019,0.0,5-10,,
'Branch',"'Flexible, beautiful office furniture for growing companies'",New York City US,2019,0.0,5-10,,
'Self SEO','Simple do-it-yourself SEO for startups + small business.',Los Angeles US,2019,0.0,2,,
'Funnelfly',"'A simple, affordable, and powerful sales and marketing automation platform for startups.'",Birmingham US,2019,0.0,5-10,,
'Rosy','Rosy is the first evidence-based mobile solution for the 31 million women who suffer from low sexual desire.',Dallas US,2018,1.0,4,,
'Growth Advisor','GrowthAdvisor revolves around  Employee stock options.',seattle US,2019,0.0,5-10,,
'UserGuiding',"'Create interactive product tours in minutes with the most non-technical friendly tool, without coding.'",San Francisco US,2018,1.0,5-10,,
'Algovest',"'A free, stock & cryptocurrency algorithmic trading application for iOS.'",Seattle US,2015,4.0,1,,
'Mubert','Worldwide copyright-protected AI-generated music',Dover US,2019,0.0,11-50,,
'ID R&D','Zero-effort biometric authentication',New York US,2016,3.0,11-50,,
'Palm','A premium smartphone the size of a credit card so you can stay connected on the go for $5/month.',San Francisco US,2018,1.0,11-50,,
'NameBounce',"'NameBounce is a powerful business name generator, helping users can generate hundreds of name ideas with available domains in seconds.'",California US,2019,0.0,1,,
'Pastryy','Pastryy is a design website that provides quality designer feedback on your designs in less than 24 hours.',Baltimore US,2019,0.0,1,,
'Augmania',"'Our product is a Storytelling tool that uses Augmented Reality to allow marketers to build interactive campaigns. No Apps, no coding skills.'",San Francisco US,2015,4.0,5-10,,
'Wahoo Delivery','Delivering more than 500 products in about 10 minutes',WashingtonDC US,2019,0.0,3,,
'Realm Post','A viral media site to browse and post your content',Crawfordsville US,2019,0.0,1,,
'Recruit CRM','Recruit CRM helps recruiters manage all their work on one simple platform.',Cupertino US,2017,2.0,11-50,,
'Pool Today','Have your pool serviced in as soon as two hours after subscribing to PoolToday.',Boca Raton US,2019,0.0,5-10,,
'wappier',"'Intelligent Revenue Management: Model, predict, and influence consumer behavior with the power of AI!'",New York US,2015,4.0,51-100,,
'SaaSLicense',"'SaaS License Management Platform to optimize, automate, and manage contracts and subscription renewals.'",Massachusetts US,2017,2.0,11-50,,
'EugeneMachine','EugeneMachine is a website change detection and alerting system.',Philadelphia US,2015,4.0,3,,
'Saketa',"'Saketa provides Enterprise Digital Workspace solutions for organizations to adopt, engage and effectively use SharePoint and O365 platform'",Seattle US,2013,6.0,251-500,,
'Loomly',"'Loomly is the Brand Success Platform that empowers marketing teams to collaborate, publish and measure.'",Los Angeles US,2016,3.0,5-10,,
'Bankey','Send and receive money with no bank account required.',"Washington, DC US",2016,3.0,11-50,,
'BasicAI','Computer Software',Irvine US,2019,0.0,5-10,,
'CloudApp',"'CloudApp is a video and media sharing platform for organizations, enabling anyone to quickly create, upload and manage visual content.'",San Francisco US,2015,4.0,11-50,,
'KudosBot','KudosBot is the perfect way to spread positivity by giving shout outs or heaping praise for employees who go above & beyond.',Seattle US,2019,0.0,1,,
'SplashQX','Sales quoting automation and tracking',Saint Augustine US,2018,1.0,5-10,,
'Lewis',"'Lewis plans and books weekend getaways, fully personalized just for you.'",New York US,2019,0.0,2,,
'Juuced Marketing','#HelpingBusinessesGrow',Sudbury US,2018,1.0,5-10,,
'Zenus Bank',"'The First Bank in USA made for Global Clients. We make it safe and easy to Access, Send, Receive and Store money in USA.'",San Juan US,2019,0.0,11-50,,
'Shopin',"""Shopin is building the essential tools for Retail 3.0: global view of all of retail's decentralized purchase data, blockchain DID and A.I.""",Brooklyn US,1975,44.0,5-10,,
'Intro30','A recruitment platform where candidates can introduce themselves with 30 second videos',San Francisco US,2019,0.0,3,,
'Passbase',"'Passbase aims to fully digitize the way people identify themselves by creating a biometrically secured, verified, portable, digital identity'",New York City US,2018,1.0,11-50,,
'Cetalingua Project','Membership-based participatory platform for citizen scientists.',Tampa US,2018,1.0,3,,
'Qanairy','Qanairy helps companies test web apps/sites for errors w/AI',Boston US,2018,1.0,2,,
'Kugadi','Kugadi simplifies management of a mobile workforce of security guards through an integrated guard tour system and dispatch system',Miami US,2015,4.0,5-10,,
'Syrreo',"'Syrreo will help you manage items, quotes, orders, and customers in one streamlined service.'",BAKERSFIELD US,2018,1.0,3,,
'KineticAI',"'KineticAI, Inc. is building a modular Factory Analytics and Automation Toolkit for the manufacturing industry.'",Indiana US,2019,0.0,5-10,,
'Abord','Connect with other travelers and locals that have similar travel plans. Save on your entire trip budget and discover new travel experiences.',Boulder US,2019,0.0,3,,
'Liist',"'A tool that turns your photos, notes, maps into shareable recommendations'",New York City US,2019,0.0,4,,
'Bokksu','Bokksu is a premium subscription service that delivers thoughtfully curated boxes of artisanal Japanese snacks and teas.',New York US,2015,4.0,5-10,,
'Proof',"""Master the world's most powerful marketing ideas each week, for free.""",San Jose US,2019,0.0,1,,
'Datantify','Datanify is the largest provider of high-quality company databases. We have access to over 100 million unique companies.',Montebello US,2018,1.0,11-50,,
'SaaSi','SaaSi empowers your team and eliminates waste by providing visibility into your software usage.',New York US,2019,0.0,5-10,,
'Lean On Me','Lean On Me strengthens communities by providing peer-to-peer text lines that allow for easy access to confidential non-crisis support.',Cambridge US,2016,3.0,101-250,,
'Streamer Cloud','Helping live streaming influencers achieve more.',New York US,2018,1.0,3,,
'Sunglass Innovation',"'Internet Sunglass Store: sell innovative sunglasses ""unique as you"", ""creative shade for all occasions"", ""hi-tech wear with hi-tech flair"".'",Los Angeles US,2017,2.0,1,,
'CloudSponge','CloudSponge provides SaaS-based solutions that handle address book importing from email accounts.',San Francisco US,2010,9.0,5-10,,
'Zirtue','relationship-based lending application that simplifies loans between friends & family w/ automatic ACH loan payments.',Dallas US,2018,1.0,5-10,,
'Ziggeo','API for video recording and playback',New York US,2012,7.0,5-10,,
'6nomads','6nomads is a matching platform that allows companies to find remote verified engineers from around the world.',San Francisco US,2019,0.0,5-10,,
'Tapyness',"'A SaaS platform offering best-in-class consumer experience measurement, capturing the human pulse up to 100x traditional survey methods'",Lawrence US,2016,3.0,5-10,,
'Supercode','Professional QR Code Generator',New York US,2019,0.0,5-10,,
'Instabug','We deliver Real-Time Contextual Insights; empowering mobile teams to accelerate their workflow and release with confidence',Palo Alto US,2012,7.0,51-100,,
'Rememorate','Rememorate is a mobile app that combines tech tools with tested psychological techniques to help you remember the people you meet.',Brooklyn US,2017,2.0,5-10,,
'KISSPatent',"'KISSPatent provides IP services for entrepreneurs, small businesses, and startups'",Chicago US,2013,6.0,5-10,,
'Uulala',"'Empowering the underbanked community by helping them save money, control their finances and build a blockchain based credit score.'",Ontario US,2017,2.0,11-50,,
'Entriwise','Amazon Seller Accounting and Inventory Profitability Integration for QuickBooks',Linden US,2016,3.0,5-10,,
'UniBit',"'UniBit uses AI to deploy unique market data feeds for trading, analytics and applications.'",Boston US,2017,2.0,11-50,,
'HelloWoofy.com / Woofy.ai',"'HelloWoofy.com, a Data Science Driven Marketing Platform, is built for small businesses as small business owners ourselves.'",New York US,2016,3.0,5-10,,
'HealthAI','HealthAI lets users take a picture of a mole and screen for cancer.',Cambridge US,2017,2.0,3,,
'Wrangle','The best way to hire or be hired in media & entertainment.',Los Angeles US,2019,0.0,5-10,,
'SaaS Startup Kit','Open-source project of Go code to bootstrap your software-as-a-service startup.',Anchorage US,2019,0.0,5-10,,
'datacy','We enable businesses to buy data directly from the users',Tennessee US,2018,1.0,5-10,,
'Lead Geeks','Your one-stop shop for EXCLUSIVE motivated home seller leads!',Phoenix US,2016,3.0,5-10,,
'Piio',"""Generates responsive images so you don't have to optimize""",San Francisco US,2018,1.0,5-10,,
'MailGenius','Find out if your email is likely to trigger spam filters. Run a free email spam and security test in less than 1 minute with MailGenius.com',Los Angeles US,2019,0.0,4,,
'Mooditude','Mooditude helps build resilience to stress and anxiety',Santa Monica US,2019,0.0,2,,
'Reply Now','Single inbox for business messengers.',San Jose US,2018,1.0,5-10,,
'breachbits',"'Continuous, affordable, and powerful cyber Red Teaming service - powered by artificial intelligence and automation.'","Washington, D.C. US",2018,1.0,2,,
'PlaybookUX','PlaybookUX is a user testing software that connects businesses with their target demographic.',New York US,2018,1.0,3,,
'Yoobe','Platform to help celebrities and content creators to create their merchandise store.',San Francisco US,2018,1.0,5-10,,
'Nynedge','Nynedge is a peer to peer SaaS-based Platform for Remote Jobs.',GAITHERSBURG US,2018,1.0,5-10,,
'CopyBucket','Collaboration is now as easy as copy and paste!',Cupertino US,2018,1.0,1,,
'Yooney','View construction history before you hire and build',san mateo US,2019,0.0,5-10,,
'ColdCrowd','Crowdfunding and crowdsourcing for cold and unsolved cases.',Cleveland US,2019,0.0,1,,
'Publist',"'Publist connects to all of the apps you use so you can search, organize, and store all of your file in one place.'",San Fransisco US,2017,2.0,2,,
'DapIt App',"'DapIt is a new way for businesses to offer gift cards digitally. Customers have the ability to buy, give instantly, share, and pay.'",Woodland US,2018,1.0,5-10,,
'Testsigma','AI Driven Test Automation for all!',Delaware US,2017,2.0,11-50,,
'Plai',"'Plai, Align and focus your employees around what matters with the first free OKR tool. Set objectives, track progress and monitor dashboard!'",Los Angeles US,2019,0.0,5-10,,
'Rocket Dollar','Invest IRAs and old 401(k)s into cool things. Welcome to “21st century diversification”',Austin US,2018,1.0,11-50,,
'fluxroll','Production support for modern teams',New York US,2018,1.0,3,,
'ScopeStack',"'In one simple step, the platform enables engineers to accurately price professional services and reduce time to scope a project'","Greenville, SC US",2018,1.0,4,,
'Sisu','We’re building a new kind of software that empowers people to make better decisions with data.',San Francisco US,2018,1.0,11-50,,
'MedBlox','MedBlox provides validation of Patient Identity across organizations.',Coralville US,2018,1.0,4,,
'MightyForms','Create connections and scale your business with a more powerful and flexible online form builder.',Cleveland US,2018,1.0,5-10,,
'Basicly','Basicly is a tool to help video makers get paid as soon as a project is completed.',New York US,2019,0.0,2,,
'Keeni Procedures','Ubiquitous platform for standardizing and sharing operating procedures to increase performance and collaboration of diverse global teams.',Anchorage US,2019,0.0,5-10,,
'DataBees','Custom Lead Research at Scale',San Francisco US,2016,3.0,101-250,,
'Lolli','Lolli lets you earn free bitcoin when you shop online.',New York US,2018,1.0,5-10,,
'Cypress Home Care Solutions',"'Cypress Homecare Solutions provides top quality, individualized & compassionate care to clients.'",Phoenix US,1988,31.0,1,,
'Zigpoll','Fun and flexible polling widget for your website',New York US,2019,0.0,1,,
"'Colorful Dots, LLC'","'We develop custom mobile applications, and websites. We offer a wide range of technical services within the private and public sectors.'",Brooklyn US,2018,1.0,2,,
'Try Storied App','Top-Rated 5 Minute fresh and original content Stories for Children that will spark intrigue for years to come.',California US,2019,0.0,5-10,,
'Bawler','A free and accessible social network for written content and podcasts.',New York US,2019,0.0,5-10,,
'Ketamine Infusion Centers',"'Get real relief from chronic pain, depression'",Phoenix US,1988,31.0,1,,
'Robin','Robin modernizes the open office. The solution to the open office isn’t more walls. It’s activity-based working.',Boston US,2014,5.0,51-100,,
'Finger Lakes Family Dental',"'Finding a family dental clinic near Corning, Bath, and Horseheads, NY'",Painted Post US,1988,31.0,1,,
'Capstone Homebuyers',"'We Buy Houses San Antonio, Cash For House San Antonio'",San Antonio US,1988,31.0,1,,
'MKTR.AI','Technical Marketing Software products built to simplify inbound marketing for SMBs.',san francisco US,2018,1.0,5-10,,
"'Saxton Industrial, Inc.'","'For over 65 years, Saxton Industrial has been designing and manufacturing'",Glendale US,1988,31.0,1,,
"'Siarum Communications, LLC'",'Siarum consolidates all your business tools into one single\xa0platform.',Birmingham US,1988,31.0,1,,
'D & S Plumbing Repair','D&S Plumbing is family-owned and-operated company with over 20 years of experience.',Locust Grove US,1989,30.0,11-50,,
"""Rosso's Furniture""","""Rosso's furniture of Gilroy and Morgan""",Gilroy US,1988,31.0,1,,
'Healthy Solutions LLC',"'At Healthy Solutions™, LLC we have years of experience'",Scottsdale US,1988,31.0,1,,
"'Williams Home Maintenance, Inc'","'Keep your cool no matter where you are in the Arlington, TX area. You can depend on the team at Williams Home Maintenance, Inc'",Pantego US,1989,30.0,11-50,,
'Toarminas Pizza','We are a Michigan based company.\xa0 Since 1987',Dearborn US,1988,31.0,1,,
'Mudrex','Mudrex helps anyone invest like an algorithmic trader',San Francisco US,2019,0.0,11-50,,
'Vested Yeti',"'Vested Yeti is a new home for your web pages. Organize your web pages, share web pages with friends, and keep track of your web pages.'",Sacramento US,2016,3.0,2,,
'GameDriver',"'Automated play testing for video games, AR and VR.'",Martinez US,2018,1.0,3,,
'Schaefers Soft Water',"'At Schaefer’s Soft Water, we carry water softner systems that are approved for the state of Wisconsin'",Watertown US,1988,31.0,1,,
'Brabazon Law Office LLC',"'If you are facing criminal and family law issues, attorneys at Brabazon Law Office will help you to protect your legal rights'",Green Bay US,1989,30.0,11-50,,
'Acorn Kitchen & Bath',"""Acorn Kitchen & Bath, one of Michigan's largest Kitchen and Bath design showrooms""",Pontiac US,1987,32.0,1,,
'Everyday Investments','Everyday Investments Realty offers you a broad menu of comprehensive residential',Scottsdale US,1988,31.0,1,,
'Pediatrix','Welcome to Pediatrix! With exceptional child care since 1986.',Phoenix US,1988,31.0,1,,
'Phonexa',"""Phonexa's powerful tracking solutions deliver insight on your marketing campaigns, allowing you to make smarter optimizations.""",Glendale US,2016,3.0,51-100,,
'Stacy D. Johnson Family Dentist','Stacy D. Johnson Family Dentist specialize in dental care for the entire family including general dentistry',Greenwood US,1988,31.0,1,,
'Faith Ink Apparel','Faith Ink is a unique shopping website with a distinctive tone focusing',Huntington Beach US,1988,31.0,1,,
"'Fischer & Van Thiel, L.L.P.'","'When you hire Fischer & Van Thiel, you are hiring a team of family law attorneys'",Oceanside US,1988,31.0,1,,
'The Cleveland Furniture Company',"'The Cleveland Furniture Company is a family owned Furniture store located in Cleveland, OH.'",Parma US,1987,32.0,1,,
"""Governor's Park Chiropractic - Denver""",'Governor’s Park Chiropractic provides you with excellent chiropractic care',Denver US,1988,31.0,1,,
"'Tile Specialists of Madison, LLC'","'Tile Specialists of Madison is a small, family owned stone and tile installations services provider in Madison, WI.'",Windsor US,1988,31.0,1,,
'Heart Smart CPR',"'Heart Smart CPR teaches American Heart Association classes for BLS health care providers, basic CPR and AED'",Leander US,1988,31.0,1,,
"'A+ Pest And Environmental Services, Inc.'","'A+ Pest and Environmental Services provides exceptional pest control and environmental services in Cape Coral, Florida.'",Cape Coral US,1989,30.0,11-50,,
'Amos Family Funeral Home & Crematory','Amos Family Funeral Home & Crematory provides complete funeral services and cremations for the communities of Roeland Park',Shawnee US,1989,30.0,11-50,,
'Simon & Milner',"""Simon & Milner protects your rights if you've been arrested or convicted of a crime. From DWIs to assault charges, we defend you in court.""",Valley Stream US,1989,30.0,11-50,,
'Oklahoma City Locksmith',"'At Oklahoma City Locksmith, our locksmiths are committed to providing the right solution for every lock and security system issue.'",Oklahoma City US,1989,30.0,11-50,,
'LambdaTest','LambdaTest is a cloud-based cross-browser testing platform where you can test your website and web app across 2000+ browser-OS combinations.',San Francisco US,2017,2.0,11-50,,
'Alamo Insurance & Financial Service',"'Alamo Insurance & Financial Service provides quality insurance of auto, commercial, property, health, life, contractors.'",Round Lake Beach US,1989,30.0,11-50,,
'Simple Quarters - We Buy Houses Indianapolis','We are not a referral network; we are local Indianapolis-based real estate investors',Carmel US,1988,31.0,1,,
'cmorq','Provides the easiest way to access on-chain data.',New York US,2018,1.0,5-10,,
'Muret CPA PLLC','Muret CPA PLLC provides superior professional services including Tax Preparation.',Tulsa US,1989,30.0,11-50,,
'Scram Speed',"'Scram Speed Shop is located in Mahomet, Champaign and Bloomington, IL. Scram Speed offers fabrication and welding services'",Mahomet US,1989,30.0,11-50,,
'Coinediction','A cryptocurrency predictions marketplace',Miami US,2018,1.0,5-10,,
'StudioYou',"'All in one software for fitness studios and gyms to manage scheduling, sales and marketing.'","Mountain View, CA US",2018,1.0,3,,
'Statful','Statful is a customized monitoring platform to track any type of metric. We provide you with real-time data in a centralized point-of-view.',San Diego US,2016,3.0,5-10,,
'Emily Brackett',"'Branding Compass gives automated, expert branding advice. Discover the best words, fonts, colors & visuals for your branding and marketing.'",Portland US,2016,3.0,3,,
'Live Casino that Accept Bitcoin Deposit','Live Casino that Accept Bitcoin Deposit Search Tool',New York US,2018,1.0,2,,
'Online Casino Accepting Neteller Search Tool','Online Casino Sites Accepting Neteller Search Tool',New York US,2018,1.0,2,,
'Sparetoolz','Peer-to-peer tool rental application on iOS',Rocklin US,2018,1.0,5-10,,
'DMARCLY',"'Dmarcly is a SaaS application that blocks phishing, business email compromise, ransomware, spam, and improves email deliverability.'",Seattle US,2018,1.0,2,,
'LOGr Research',"'One Tap Search and Organize! LOGr aggregates search, simplifies project management and facilitates community sharing.'","Westport, CT US",2019,0.0,2,,
'Gentreo','Online estate planning',Boston US,2018,1.0,5-10,,
'Taekwondo In Action','We are premier provider of martial arts classes in Fairfax VA',Fairfax US,1988,31.0,1,,
'ProfitGuru','ProfitGuru is the easiest way to find the most profits on Amazon.',Midvale US,2019,0.0,5-10,,
'Cordes Performance Racing',"""CPR is Arizona's premier automotive motorsports shop!""",Tempe US,1989,30.0,11-50,,
"'Apex Investments, LLC - We Buy Houses Boston'","'Address: 968 Main St, Wakefield, MA, 01880, USA; Phone No :978-737-7059; Email ID: alexis@apexinvests.com'",Wakefield US,1988,31.0,1,,
"""Harper's Point Eye Associates""","""Since 1976, Harper's Point Eye Associates has been treating residents in the Cincinnati region for all their eye care needs.""",Cincinnati US,1989,30.0,11-50,,
'Infinity',"'Infinity is an all-in-one project management platform where you can organize anything, your way.'",Delaware US,2018,1.0,5-10,,
'BTB Construction Inc',"'BTB Construction Inc has been providing professional roofing, siding and window services to residential'",Lynchburg US,1989,30.0,11-50,,
"'Young W. Chung, DDS'","'Young W. Chung, DDS offers best and high quality cosmetic and general dentistry services.'",Redlands US,1989,30.0,11-50,,
'Sandbox Video','A Creative Video Agency Focused On Helping Startups And Brands With Video Advertising',NY US,2019,0.0,5-10,,
'Paloma Post',"'$5 greeting cards that can be customized for your loved ones, scheduled in advance, and digitally signed. Free shipping.'","Kansas City, MO US",2018,1.0,2,,
'Kounsel','Kounsel is a platform where clients can look for counselors (any profession) and get help at any time.',San Francisco US,2018,1.0,11-50,,
'DeWitt and DeWitt','We buy houses anywhere in the DFW',Dallas US,1988,31.0,1,,
'Fasturtle','Fasturtle has been consistently awarded one of Phoenix',Scottsdale US,1988,31.0,1,,
'CrowdQuestion','Connecting Crowds Through Q&A The Right Way To Bring Everyone Closer To Their Community',Sacramento US,2019,0.0,4,,
'PhishFeed','Real Time Phishing Intel Simplified',"Fairfax, VA US",2019,0.0,5-10,,
'1st Choice Dental',"'At 1st Choice Dental, our goal is to provide our patients'",North Hollywood US,1998,21.0,1,,
'Blendful','Blendful is a vector editor and marketplace. Non-illustrators can use assets from designers around the world to create their next project.',Seattle US,2018,1.0,2,,
"'Rawa Law Group, APC'",'We are proud to serve our community in Inland Empire',Long Beach US,1988,31.0,1,,
'Chef Select 361 corp','ChefSelect 361 is the child company of Pyramid Food Service',Newark US,1988,31.0,1,,
'Hubstaff Tasks','Agile based project management with weekly sprints',Fishers US,2019,0.0,51-100,,
'Dimensional Silk Screen Digital Printing','The team at Dimensional has a combined 190+ years of experience.',San Diego US,1988,31.0,1,,
'LexAlchemy',"'Legal counsel serving clients in the areas of technology, innovation, competition, and creativity.'",Atlanta US,2018,1.0,1,,
'Studio City Orthodontist','Studio City Orthodontist',Studio City US,1988,31.0,1,,
'Dialysis 4 Career',"'Dialysis 4 Career, School of Hemodialysis is a licensed and registered'",Hempstead US,1988,31.0,1,,
'Foxsea Sport Fishing Charters','We provide the top experience in the industry when it comes to Private Deep Sea Fishing Charter',Fort Lauderdale US,1987,32.0,1,,
'Cell Phone Doctor','With over 20 years of electronics repair experience',Glen Burnie US,1988,31.0,1,,
'JournalFlow','Keep a journal in your favorite messaging app.',SF US,2019,0.0,2,,
'RoadGoat',"'Checkins, bookmarks and recommendations for travel destinations. Integrated with FitBit, Instagram, Facebook, and more'",New York US,2018,1.0,11-50,,
'Angel City Animal Hospital','Angel City Animal Hospital is a brand new veterinary clinic that provide affordable services in your neighborhood of Silverlake',Los Angeles US,1990,29.0,1,,
'Jiggles TV','The most uninhibited live streaming platform',Sacramento US,2018,1.0,1,,
'DODOcase VR','DODOcase VR is a specialist in custom branded virtual and augmented reality headsets.',Mill Valley US,1988,31.0,1,,
