market,products,launch_stage,activity_level,activity_verified,pageviews,team_member,founded_by,revenue_stage,revenue_through,twitter_followers,percentile,amount_raised,company_website,description,name,founded,place,crunchbase_link,ranking
'finance',"'mobile app', 'web app'",Pre,High company activity detected,17 Mar 20,~10.2k,5-10,'Kalshi',Pre,"'b2c', 'other'",978,9,Undisclosed,https://www.kalshi.com/?ref=startuptracker,'Kalshi is a platform where users trade on the outcome of different events to hedge against the risk of every day life.','Kalshi',January 10 2019,San Francisco US,https://www.crunchbase.com/organization/kalshi,463.3k
"'travel', 'hospitality'",'service',Publicly,High company activity detected,16 Mar 20,~48.5k,501-1k,'Blueground',Post,"'b2c', 'b2b', 'sales'",1.3k,9,$77.6m,https://www.theblueground.com?ref=startuptracker,'Beautifully furnished apartments for business professionals and individual renters looking for a turnkey living solution.','Blueground',August 1 2013,New York US,https://www.crunchbase.com/organization/blueground,98.6k
"'productivity', 'hr and recruitment', 'startups'",'web app',Publicly,High company activity detected,16 Mar 20,~9.1k,11-50,'Peoplebox',Pre,"'b2b', 'other', 'freemium'",213,9,Undisclosed,https://www.peoplebox.ai/?ref=startuptracker,"'Helping Managers build great teams with meaningful 1-on-1s, continuous feedback, motivation & performance tracking and closing key actions'",'Peoplebox',December 10 2018,San Francisco US,https://crunchbase.com/organization/peoplebox-ai,520.2k
"'e commerce', 'marketing', 'startups', 'sales'","'other', 'service', 'web app'",Publicly,Low company activity detected,13 Mar 20,~4.5k,1,'Rebeliance',Pre,"'b2c', 'b2b', 'other', 'commission', 'sales'",40,9,Undisclosed,https://rebeliance.com?ref=startuptracker,'A marketplace for entrepreneurs to discover lifetime software deals and huge discounts.','Rebeliance',November 27 2018,Oxford US,https://angel.co/rebeliance,1m
"'marketing', 'big data', 'content', 'real estate'",'web app',Publicly,High company activity detected,7 Mar 20,~22.3k,5-10,'Michael Leigeber',Pre,"'b2c', 'freemium', 'subscription'",1.3k,9,Undisclosed,https://www.landsearch.com?ref=startuptracker,'Discover land that works for you','LandSearch',January 1 2016,Colorado Springs US,https://www.crunchbase.com/organization/landsearch,213.7k
"'analytics', 'data', 'marketing', 'software dev'","'desktop app', 'web app'",Privately,High company activity detected,4 Mar 20,~14.2k,2,'Apipheny',Pre,"'b2c', 'b2b', 'subscription'",37,9,Undisclosed,https://apipheny.io?ref=startuptracker,'Import APIs into Google Sheets without writing any scripts. Connect and import JSON and CSV APIs to Google Sheets quickly and easily.','Apipheny',January 1 2020,San Francisco US,https://www.crunchbase.com/organization/apipheny,334.8k
"'other', 'startups'","'other', 'service'",Publicly,Sourced by Startup Tracker,4 Mar 20,~10k,2,'Mark Thomas',Post,"'other', 'b2c', 'free to use'",See,9,Undisclosed,http://zensports.com/?ref=startuptracker,'ZenSports is a peer-to-peer sports betting marketplace.','ZenSports',September 4 2017,San Francisco US,https://www.crunchbase.com/organization/zensports,473.3k
"'design', 'finance', 'marketing', 'sales'",'service',Publicly,High company activity detected,3 Mar 20,~740.9k,51-100,'SlideTeam',Pre,"'b2c', 'b2b', 'other'",489,9,Undisclosed,http://www.slideteam.net?ref=startuptracker,"""SlideTeam is the world's largest supplier of innovative PowerPoint content. You can get perfect PowerPoint themes, Slides & designs here.""",'SlideTeam',January 4 2005,New York US,https://www.crunchbase.com/organization/slideteam,6.6k
'other','other',Publicly,No recent company activity detected,3 Mar 20,~645,5-10,'Cloud Aress',Pre,'other',See,9,Undisclosed,https://www.cloudaress.com?ref=startuptracker,'Cloudaress specialize in implementation and integration of Salesforce Marketing Cloud with other Salesforce Clouds','CloudAress',December 31 2014,Woburn US,https://startuptracker.io,7.2m
"'analytics', 'health', 'startups', 'medical', 'travel'","'mobile app', 'service'",Publicly,No recent company activity detected,1 Mar 20,0,5-10,'Christian V',Pre,"'b2c', 'other', 'free to use', 'subscription'",27,9,Undisclosed,http://www.ergentapp.com?ref=startuptracker,"""ERgent is an ER wait time app that uses the user's GPS plus nearby ER's average wait times and features to find quick and top medical care""",'ERgent',June 15 2019,Brooklyn US,https://www.producthunt.com/posts/ergent?utm_campaign=producthunt-api&utm_medium=api&utm_source=Application%3A+Startup+Tracker+%28ID%3A+676%29,0
"'advertising', 'food and beverages', 'startups', 'sales'",'web app',Privately,No recent company activity detected,1 Mar 20,~770,2,'MangoCRM',Post,"'b2b', 'subscription'",19,9,Undisclosed,https://www.mymangocrm.com/crm-data?ref=startuptracker,'Mango is an all-in-one contact management and billing tool for small business','MangoCRM',January 1 2019,CHARLOTTE US,https://startuptracker.io,6m
'insurance','web app',Publicly,No recent company activity detected,29 Feb 20,~1.5k,2,"'Jason Chen', 'Richard Lam', 'Dwink'",Pre,"'b2c', 'free to use', 'commission'",15,9,Self,https://sobreezy.com/?ref=startuptracker,'Breezy helps you quickly find the best and most affordable insurance for your pets.','Breezy',October 1 2019,Irvine US,https://angel.co/company,3.2m
"'finance', 'blockchain', 'ai'",'web app',Publicly,No recent company activity detected,28 Feb 20,0,1,,Pre,"'b2c', 'advertising', 'affiliation'",See,9,Undisclosed,https://frkst.com?ref=startuptracker,"'FRKST is a 60-day Machine Learning\xa0powered Cryptocurrency\xa0Price Forecast\xa0for Bitcoin & Ethereum, generated daily.'",'FRKST',August 18 2019,San Diego US,https://startuptracker.io,0
'blockchain','service',Publicly,High company activity detected,27 Feb 20,~4.9k,5-10,'Rohan Hall',Pre,"'b2c', 'other'",555,9,Undisclosed,https://www.vottun.com?ref=startuptracker,'Fostering blockchain adoption','Vottun',January 1 2018,Los Angeles US,https://www.crunchbase.com/organization/vottun,952.8k
'retail','web app',Publicly,No recent company activity detected,26 Feb 20,0,5-10,'Bizooy.com',Pre,"'b2b', 'subscription'",84,9,Undisclosed,https://bizooy.com?ref=startuptracker,'Reputation building platform used to learn about customer experiences and generate new reviews.','Bizooy',March 1 2019,Los Angeles US,https://crunchbase.com/organization/bizooy,0
"'analytics', 'data', 'education', 'ai'",'service',Publicly,High company activity detected,22 Feb 20,~134.1k,11-50,'Product School',Pre,"'b2c', 'b2b', 'sales'",18.3k,9,Self,https://www.productschool.com/?ref=startuptracker,'Product School provides certified courses in Product Management and other digital skills to professionals across 16 campuses worldwide.','Product School',June 4 2014,San Francisco US,https://www.crunchbase.com/organization/productschool,36k
"'food and beverages', 'entertainment', 'events', 'travel'",'mobile app',Publicly,Low company activity detected,20 Feb 20,0,5-10,'evntures',Pre,"'other', 'freemium'",12,9,Self,https://www.evntures.com?ref=startuptracker,"'Evntures, a mobile advertising company, that facilitates the discovery of local events in major metropolitan areas.'",'Evntures',January 1 2020,San Antonio US,https://startuptracker.io,0
"'advertising', 'analytics', 'data', 'marketing'",'service',Publicly,No recent company activity detected,20 Feb 20,~2.2k,51-100,'Christopher Jakeson',Pre,"'b2b', 'freemium'",2.2m,9,Self,https://adsreport.io/?ref=startuptracker,'Reporting Tool for Facebook ADs','ZingFront',February 13 2016,Massachusetts US,https://producthunt.com/posts/adsreport,2.2m
"'advertising', 'finance', 'social networks', 'startups'","'mobile app', 'web app'",Publicly,High company activity detected,20 Feb 20,~44.3k,11-50,"'Majd M', 'Korash'",Pre,"'b2c', 'b2b', 'commission', 'advertising'",368,9,Undisclosed,https://statusmoney.com?ref=startuptracker,'Status is a social financial management app that lets you compare finances with peers and get advice from people like you..','Status Money',May 4 2016,New York US,https://www.crunchbase.com/organization/status-money,107.9k
"'advertising', 'e commerce', 'retail'",'web app',Publicly,No recent company activity detected,10 Feb 20,~674,5-10,'Joshua Waller',Pre,"'b2b', 'freemium'",1,9,Self,https://accelpay.io/?ref=startuptracker,'Allow shoppers to build carts and purchase anywhere a merchant can place a QR code or NFC Tags.','accelPay',September 1 2019,New York US,https://crunchbase.com/organization/accelpay,6.9m
"'communication', 'design', 'productivity', 'software dev'","'desktop app', 'mobile app', 'web app'",Publicly,High company activity detected,9 Feb 20,~55.8k,4,"'Tom Medema', 'Bloomon'",Pre,"'b2c', 'b2b', 'freemium'",85.9k,9,Undisclosed,https://www.usebubbles.com?ref=startuptracker,'Annotate anywhere and work in-context with your teammates.','Bubbles',September 1 2019,San Francisco US,https://www.crunchbase.com/organization/usebubbles,85.9k
"'analytics', 'security', 'ai'",'service',Privately,Low company activity detected,6 Feb 20,~1.8k,5-10,,Pre,"'b2b', 'subscription'",29,9,$65k,https://camdog.ai?ref=startuptracker,'We are providing video guard service with a new quality of service without human monitoring to keep your privacy','Camdog',August 2 2019,Claymont US,https://crunchbase.com/organization/camdog-inc,2.6m
'social networks','web app',Publicly,No recent company activity detected,21 Jan 20,Undisclosed,1,'Alexander Richey',Pre,"'b2c', 'free to use'",9,9,Undisclosed,https://hiconvo.com?ref=startuptracker,'Convo makes planning events and sharing with your real friends easy.','Convo',October 16 2019,Seattle US,https://betalist.com/startups/convo,0
"'analytics', 'iot', 'blockchain', 'big data'","'desktop app', 'service', 'web app'",Privately,High company activity detected,19 Jan 20,0,5-10,'AnyLog',Pre,"'b2b', 'free to use', 'freemium'",131,9,Undisclosed,https://anylog.co?ref=startuptracker,'Building a next generation decentralized IoT platform where data owners can capture the full value of their data','AnyLog',January 1 2018,California US,https://crunchbase.com/organization/anylog,0
"'advertising', 'entertainment', 'events', 'social networks'","'mobile app', 'service'",Privately,No recent company activity detected,15 Jan 20,0,5-10,'Gaetan Ekoondo Helsen',Pre,"'b2c', 'b2b', 'free to use', 'commission', 'advertising', 'affiliation', 'subscription'",68,9,Undisclosed,https://www.comeclosely.com?ref=startuptracker,'Social Network based on the event industry','ComeClosely',May 24 2019,New York US,https://www.crunchbase.com/organization/comeclosely,0
"'analytics', 'startups', 'big data', 'real estate'","'desktop app', 'web app'",Publicly,Low company activity detected,15 Jan 20,~9.8k,3,'Lofty AI',Pre,"'b2c', 'b2b', 'sales', 'subscription'",601,9,$815k,https://www.lofty.ai/?ref=startuptracker,'A.I. to predict future real estate prices','Lofty AI',May 9 2018,Oakland US,https://www.crunchbase.com/organization/lofty-ai,481.3k
"'other', 'data', 'events', 'social networks'",'mobile app',Publicly,No recent company activity detected,10 Jan 20,0,3,,Pre,"'b2b', 'free to use', 'affiliation'",See,9,Undisclosed,https://leaflist.com?ref=startuptracker,'Professional networking and reputation management for the cannabis industry.','LeafList',May 15 2019,Denver US,https://crunchbase.com/organization/leaflist,0
"'consulting', 'governmental', 'startups', 'accounting and legal'","'desktop app', 'mobile app', 'service', 'web app'",Publicly,High company activity detected,31 Dec 19,~198.9k,11-50,"'Kamil Rudnicki', 'HeySpace'",Pre,"'b2b', 'other', 'free to use', 'freemium', 'subscription'",5.6k,9,Undisclosed,http://www.timecamp.com?ref=startuptracker,'Time tracking software that improves the profitability of your projects','TimeCamp',August 15 2008,Los Angeles US,https://angel.co/timecamp,24.3k
'insurance','service',Pre,High company activity detected,29 Dec 19,~3.6k,5-10,'𝑨𝒏𝒅𝒓𝒆𝒘 𝑱𝒆𝒓𝒏𝒊𝒈𝒂𝒏',Pre,"'b2c', 'b2b', 'commission', 'affiliation', 'sales'",280,9,Undisclosed,https://www.insurednomads.com?ref=startuptracker,'Insurance distribution and product development for nomads and expats','Insured Nomads',December 5 2019,Birmingham US,https://www.crunchbase.com/organization/insured-nomads,1.3m
"'analytics', 'automotive', 'ai', 'software dev'","'service', 'web app'",Publicly,Low company activity detected,23 Dec 19,~4.5k,1,"'CarsXE API', 'إبراهيم درويش | Abe Darwish'",Post,"'b2c', 'b2b', 'freemium', 'subscription'",275,9,Self,https://api.carsxe.com/?ref=startuptracker,"""CarsXE API's a RESTful API that provides access to millions of vehicles with specs, history, ownership cost, market value, images & more!""",'CarsXE',December 3 2019,Highland US,https://producthunt.com/posts/carsxe-api,1.1m
"'other', 'e commerce', 'productivity'",'web app',Publicly,High company activity detected,22 Dec 19,~428.2k,11-50,'Modalyst - Dropshipping Software',Post,"'b2b', 'freemium'",2.7k,9,Undisclosed,http://modalyst.co/?ref=startuptracker,'Dropshipping automation software for ecommerce','Modalyst',September 14 2012,San Francisco US,https://www.crunchbase.com/organization/modalyst,11.4k
"'security', 'real estate'",'service',Publicly,High company activity detected,18 Dec 19,0,51-100,'Narrow Security',Pre,"'b2c', 'sales'",1,9,Undisclosed,https://www.narrowsecurity.com/?ref=startuptracker,'Narrow Security Inc provides Fire Guard Services and Security Guard Services across the US.','Narrow Security',December 27 2019,New York US,https://crunchbase.com/organization/neil-ahmadi,0
"'e commerce', 'finance'","'desktop app', 'mobile app'",Publicly,High company activity detected,18 Dec 19,~23.8k,5-10,"'OneGold', 'APMEX', 'Sprott Asset Management'",Pre,"'b2c', 'other'",939,9,Undisclosed,https://www.onegold.com?ref=startuptracker,"'ONEGOLD is a marketplace where you can buy, sell, redeem and fully manage your precious metals with as little as $1.'",'OneGold',January 1 2019,Oklahoma City US,https://crunchbase.com/organization/onegold,200.2k
"'education', 'hr and recruitment', 'ai'","'mobile app', 'web app'",Privately,Sourced by Startup Tracker,12 Dec 19,~11.8k,5-10,,Pre,"'b2c', 'free to use'",401.4k,9,Undisclosed,https://mrsimon.ai?ref=startuptracker,'Mr. Simon is an artificial career coach','Mr. Simon',June 1 2019,Hillsborough US,https://startuptracker.io,401.4k
"'e commerce', 'real estate'","'physical goods', 'service'",Publicly,High company activity detected,12 Dec 19,~38.3k,5-10,"'Sib Mahapatra', 'Greg Hayes', 'Verity Sylvester', 'Redfin', 'Breather', 'redfin'",Post,"'b2b', 'sales'",518,9,Undisclosed,https://www.branchfurniture.com?ref=startuptracker,"'Flexible, beautiful office furniture for growing companies'",'Branch',September 15 2019,New York City US,https://www.crunchbase.com/organization/bureauwork,124.7k
"'other', 'marketing', 'startups', 'ai'",'web app',Publicly,High company activity detected,8 Dec 19,~714,2,'Sebastian Hovv',Pre,"'b2b', 'subscription'",1.1k,9,Self,https://selfseo.co?ref=startuptracker,'Simple do-it-yourself SEO for startups + small business.','Self SEO',January 2 2019,Los Angeles US,https://producthunt.com/posts/self-seo,6.5m
"'advertising', 'marketing', 'sales'",'web app',Publicly,No recent company activity detected,6 Dec 19,~4.6k,5-10,'Funnelfly',Pre,"'b2b', 'subscription'",36,9,Undisclosed,https://www.funnelfly.com/?ref=startuptracker,"'A simple, affordable, and powerful sales and marketing automation platform for startups.'",'Funnelfly',April 30 2019,Birmingham US,https://producthunt.com/posts/funnelfly,1m
"'health', 'content', 'medical'",'mobile app',Publicly,High company activity detected,4 Dec 19,~5.3k,4,'Lyndsey Harper MD FACOG',Pre,"'b2c', 'freemium', 'subscription'",641,9,Undisclosed,https://meetrosy.com/?ref=startuptracker,'Rosy is the first evidence-based mobile solution for the 31 million women who suffer from low sexual desire.','Rosy',September 27 2018,Dallas US,https://www.crunchbase.com/organization/rosy,895.4k
'other',"'service', 'web app'",Publicly,No recent company activity detected,25 Nov 19,0,5-10,'Bryan Starbuck',Pre,"'b2c', 'subscription'",8,9,Self,https://growthadvisorhq.com/?ref=startuptracker,'GrowthAdvisor revolves around  Employee stock options.','Growth Advisor',January 8 2019,seattle US,https://crunchbase.com/organization/growthadvisorhq,0
"'advertising', 'analytics', 'startups', 'big data'",'web app',Publicly,High company activity detected,20 Nov 19,~56k,5-10,'UserGuiding 🌊',Pre,"'b2b', 'subscription'",679,9,Undisclosed,https://www.userguiding.com/?ref=startuptracker,"'Create interactive product tours in minutes with the most non-technical friendly tool, without coding.'",'UserGuiding',January 21 2018,San Francisco US,https://www.crunchbase.com/organization/userguiding,85.6k
"'other', 'finance'",'mobile app',Publicly,No recent company activity detected,19 Nov 19,0,1,'Algovest',Pre,"'b2c', 'free to use', 'freemium', 'subscription'",51,9,Undisclosed,https://www.tradealgovest.com?ref=startuptracker,"'A free, stock & cryptocurrency algorithmic trading application for iOS.'",'Algovest',December 31 2015,Seattle US,https://www.crunchbase.com/organization/algovest,0
"'music', 'startups', 'ai'","'other', 'mobile app', 'service'",Publicly,Sourced by Startup Tracker,19 Nov 19,~17.4k,11-50,,Pre,"'b2c', 'b2b', 'free to use', 'sales', 'subscription'",See,9,Undisclosed,http://mubert.com/?ref=startuptracker,'Worldwide copyright-protected AI-generated music','Mubert',August 31 2019,Dover US,https://www.crunchbase.com/organization/mubert,272.1k
'other','service',Publicly,High company activity detected,16 Nov 19,~6.1k,11-50,'Alexey Khitrov',Pre,"'b2b', 'other'",580,9,Undisclosed,https://www.idrnd.ai?ref=startuptracker,'Zero-effort biometric authentication','ID R&D',November 16 2016,New York US,https://angel.co/company,775.5k
"'other', 'fashion', 'productivity', 'hardware'",'hardware',Publicly,High company activity detected,16 Nov 19,~36.8k,11-50,'Palm',Pre,"'b2c', 'sales'",5.6k,9,Undisclosed,https://palm.com/?ref=startuptracker,'A premium smartphone the size of a credit card so you can stay connected on the go for $5/month.','Palm',October 31 2018,San Francisco US,https://www.crunchbase.com/organization/palm,129.7k
"'e commerce', 'marketing', 'productivity', 'startups'",'web app',Publicly,High company activity detected,15 Nov 19,~14.4k,1,'Axel DeAngelis',Pre,"'b2c', 'free to use', 'commission', 'affiliation'",21,9,Undisclosed,https://www.namebounce.com?ref=startuptracker,"'NameBounce is a powerful business name generator, helping users can generate hundreds of name ideas with available domains in seconds.'",'NameBounce',October 1 2019,California US,https://www.crunchbase.com/organization/namebounce,329.8k
"'consulting', 'design'",'service',Publicly,No recent company activity detected,14 Nov 19,49,1,"'Pastryy_design', 'Aj Picard 👨🏻\u200d💻'",Pre,"'b2c', 'b2b', 'subscription'",49,9,Self,http://www.Pastryy.com?ref=startuptracker,'Pastryy is a design website that provides quality designer feedback on your designs in less than 24 hours.','Pastryy',November 10 2019,Baltimore US,https://producthunt.com/posts/pastryy,0
"'analytics', 'marketing', 'startups', 'ar/vr'","'other', 'service', 'web app'",Publicly,High company activity detected,14 Nov 19,~4.1k,5-10,'Rania Reda',Pre,"'b2b', 'subscription'",692,9,Undisclosed,https://www.augmania.com?ref=startuptracker,"'Our product is a Storytelling tool that uses Augmented Reality to allow marketers to build interactive campaigns. No Apps, no coding skills.'",'Augmania',May 4 2015,San Francisco US,https://www.crunchbase.com/organization/augmania,1.2m
'food and beverages','mobile app',Publicly,No recent company activity detected,12 Nov 19,47,3,,Pre,"'b2c', 'sales'",47,9,Self,https://wahoodelivery.com?ref=startuptracker,'Delivering more than 500 products in about 10 minutes','Wahoo Delivery',August 1 2019,WashingtonDC US,https://www.crunchbase.com/organization/wahoo-delivery,0
"'entertainment', 'fashion', 'gaming', 'health'",'other',Publicly,Sourced by Startup Tracker,12 Nov 19,Self,1,,Pre,"'advertising', 'affiliation'",9,9,Self,https://realmpost.com/?ref=startuptracker,'A viral media site to browse and post your content','Realm Post',November 10 2019,Crawfordsville US,https://startuptracker.io,0
"'productivity', 'hr and recruitment'",'web app',Publicly,High company activity detected,4 Nov 19,~37.2k,11-50,'Shoanak Mallapurkar',Post,"'b2b', 'free to use', 'freemium', 'subscription'",311,9,Undisclosed,https://recruitcrm.io?ref=startuptracker,'Recruit CRM helps recruiters manage all their work on one simple platform.','Recruit CRM',September 30 2017,Cupertino US,https://www.crunchbase.com/organization/recruitcrm,128.4k
'real estate',"'mobile app', 'service'",Privately,High company activity detected,1 Nov 19,0,5-10,"'Santo 🏡', 'MailMyPrescriptions.com'",Post,"'b2c', 'b2b', 'subscription'",See,9,Undisclosed,https://pooltoday.co?ref=startuptracker,'Have your pool serviced in as soon as two hours after subscribing to PoolToday.','Pool Today',June 1 2019,Boca Raton US,https://crunchbase.com/organization/pooltoday,0
"'e commerce', 'gaming', 'ai', 'software dev'","'desktop app', 'mobile app', 'service', 'web app'",Publicly,High company activity detected,31 Oct 19,~3.6k,51-100,'wappier',Post,"'b2b', 'commission', 'sales'",168,9,$4m,https://wappier.com/?ref=startuptracker,"'Intelligent Revenue Management: Model, predict, and influence consumer behavior with the power of AI!'",'wappier',January 14 2015,New York US,https://www.crunchbase.com/organization/wappier,1.3m
"'analytics', 'data', 'finance', 'productivity'","'desktop app', 'service'",Publicly,Low company activity detected,30 Oct 19,0,11-50,,Post,"'b2b', 'sales', 'subscription'",See,9,Undisclosed,https://www.saaslicense.com?ref=startuptracker,"'SaaS License Management Platform to optimize, automate, and manage contracts and subscription renewals.'",'SaaSLicense',January 1 2017,Massachusetts US,https://www.crunchbase.com/organization/saaslicense,0
"'analytics', 'consulting', 'productivity', 'sales'","'desktop app', 'service', 'web app'",Pre,Sourced by Startup Tracker,23 Oct 19,Undisclosed,3,'EugeneMachine',Pre,"'b2c', 'b2b', 'free to use', 'freemium', 'subscription'",9,9,Undisclosed,https://www.eugenemachine.com?ref=startuptracker,'EugeneMachine is a website change detection and alerting system.','EugeneMachine',January 1 2015,Philadelphia US,https://startuptracker.io,0
'other',"'desktop app', 'mobile app', 'service', 'web app'",Publicly,High company activity detected,22 Oct 19,~2.7k,251-500,'Saketa',Pre,"'b2c', 'b2b', 'freemium'",693,9,Undisclosed,https://saketa.com/sharepoint-migrator/?ref=startuptracker,"'Saketa provides Enterprise Digital Workspace solutions for organizations to adopt, engage and effectively use SharePoint and O365 platform'",'Saketa',December 31 2013,Seattle US,https://www.crunchbase.com/organization/saketa,1.7m
"'analytics', 'marketing', 'social networks', 'content'","'mobile app', 'web app'",Publicly,High company activity detected,17 Oct 19,~455.9k,5-10,"'Thibaud CLEMENT', 'Noémie Clément'",Post,"'b2b', 'b2g', 'non profit', 'subscription'",2.7k,9,Undisclosed,https://www.loomly.com/?ref=startuptracker,"'Loomly is the Brand Success Platform that empowers marketing teams to collaborate, publish and measure.'",'Loomly',February 15 2016,Los Angeles US,https://www.crunchbase.com/organization/loomly,10.7k
"'finance', 'startups', 'blockchain'","'mobile app', 'service'",Pre,No recent company activity detected,15 Oct 19,~824,11-50,'Bankey',Pre,"'b2c', 'commission'",10,9,Undisclosed,http://bankey.io/?ref=startuptracker,'Send and receive money with no bank account required.','Bankey',January 10 2016,"Washington, DC US",https://crunchbase.com/organization/bankey,5.6m
"'data', 'robotics', 'ai', 'big data'","'desktop app', 'hardware', 'mobile app', 'service', 'web app'",Privately,No recent company activity detected,15 Oct 19,0,5-10,'BasicAI',Pre,"'b2b', 'sales'",45,9,Undisclosed,https://www.basic.ai?ref=startuptracker,'Computer Software','BasicAI',May 1 2019,Irvine US,https://crunchbase.com/organization/basicai,0
'startups',"'desktop app', 'mobile app'",Privately,High company activity detected,14 Oct 19,~605.4k,11-50,'CloudApp',Pre,"'b2c', 'b2b', 'freemium'",23.4k,9,Undisclosed,https://www.getcloudapp.com?ref=startuptracker,"'CloudApp is a video and media sharing platform for organizations, enabling anyone to quickly create, upload and manage visual content.'",'CloudApp',January 1 2015,San Francisco US,https://www.crunchbase.com/organization/cloudapp,8.1k
"'health', 'productivity', 'hr and recruitment', 'startups'","'service', 'web app'",Publicly,High company activity detected,10 Oct 19,0,1,'Fahim Karim',Pre,"'b2b', 'freemium'",See,9,Undisclosed,https://kudosbot.com?ref=startuptracker,'KudosBot is the perfect way to spread positivity by giving shout outs or heaping praise for employees who go above & beyond.','KudosBot',September 1 2019,Seattle US,https://crunchbase.com/organization/kudosbot,0
"'consulting', 'e commerce', 'startups', 'sales'","'desktop app', 'hardware', 'service', 'web app'",Pre,No recent company activity detected,9 Oct 19,9,5-10,'Splash Q2C (Quote To Cash) Cloud',Pre,"'b2b', 'sales'",9,9,Undisclosed,https://www.splashq2c.com/?ref=startuptracker,'Sales quoting automation and tracking','SplashQX',January 1 2018,Saint Augustine US,https://startuptracker.io,0
'travel',"'service', 'web app'",Privately,No recent company activity detected,8 Oct 19,0,2,,Pre,"'b2c', 'sales'",See,9,Self,https://www.lewistravel.co/?ref=startuptracker,"'Lewis plans and books weekend getaways, fully personalized just for you.'",'Lewis',August 29 2019,New York US,https://www.crunchbase.com/organization/lewis,0
"'advertising', 'communication', 'design', 'marketing'",'service',Publicly,Low company activity detected,6 Oct 19,~1.2k,5-10,'James Nunn',Post,"'b2b', 'advertising', 'subscription'",8,9,Undisclosed,https://juuced.com?ref=startuptracker,'#HelpingBusinessesGrow','Juuced Marketing',September 20 2018,Sudbury US,https://crunchbase.com/organization/juuced-marketing,3.8m
"'other', 'e commerce', 'finance', 'software dev'","'mobile app', 'service', 'web app'",Privately,Low company activity detected,30 Sep 19,~31.4k,11-50,'Zenus Bank',Pre,"'b2c', 'b2b', 'b2g', 'subscription'",453,9,Undisclosed,https://www.zenus.com?ref=startuptracker,"'The First Bank in USA made for Global Clients. We make it safe and easy to Access, Send, Receive and Store money in USA.'",'Zenus Bank',March 8 2019,San Juan US,https://www.crunchbase.com/organization/zenus-bank,152k
"'retail', 'blockchain', 'ai', 'big data'","'mobile app', 'web app'",Publicly,No recent company activity detected,28 Sep 19,~1.4k,5-10,"'Eran Eyal', 'lance', 'Springleap', 'Forbes Technology Council'",Pre,"'b2c', 'freemium', 'sales', 'subscription'",6.4k,9,Undisclosed,http://www.shopin.com?ref=startuptracker,"""Shopin is building the essential tools for Retail 3.0: global view of all of retail's decentralized purchase data, blockchain DID and A.I.""",'Shopin',September 1 1975,Brooklyn US,https://www.crunchbase.com/organization/shopin,3.4m
"'hr and recruitment', 'social networks', 'startups', 'sales'",'other',Privately,High company activity detected,27 Sep 19,~2.2k,3,'Intro30',Pre,"'b2c', 'b2b', 'subscription'",281,9,Undisclosed,https://www.intro30.com/?ref=startuptracker,'A recruitment platform where candidates can introduce themselves with 30 second videos','Intro30',March 1 2019,San Francisco US,https://angel.co/company,2.2m
"'sharing economy', 'startups'","'mobile app', 'web app'",Publicly,High company activity detected,25 Sep 19,~27.4k,11-50,'Passbase',Pre,"'b2b', 'commission', 'subscription'",2.5k,9,$4.2m,https://passbase.com?ref=startuptracker,"'Passbase aims to fully digitize the way people identify themselves by creating a biometrically secured, verified, portable, digital identity'",'Passbase',July 31 2018,New York City US,https://www.crunchbase.com/organization/passbase,174k
"'education', 'ai'","'mobile app', 'service', 'web app'",Publicly,High company activity detected,24 Sep 19,0,3,'Cetalingua Project',Pre,"'b2c', 'subscription'",430,9,Undisclosed,https://cetalingua.com?ref=startuptracker,'Membership-based participatory platform for citizen scientists.','Cetalingua Project',January 3 2018,Tampa US,https://startuptracker.io,0
"'e commerce', 'software dev'","'desktop app', 'service'",Privately,No recent company activity detected,23 Sep 19,0,2,'Qanairy',Pre,"'b2b', 'subscription'",99,9,$10k,https://qanairy.com?ref=startuptracker,'Qanairy helps companies test web apps/sites for errors w/AI','Qanairy',February 1 2018,Boston US,https://www.crunchbase.com/organization/qanairy,0
"'hr and recruitment', 'security', 'real estate'","'mobile app', 'web app'",Publicly,Low company activity detected,20 Sep 19,~1.4k,5-10,'Kugadi',Post,"'b2b', 'subscription'",351,9,Undisclosed,https://www.kugadi.com/?ref=startuptracker,'Kugadi simplifies management of a mobile workforce of security guards through an integrated guard tour system and dispatch system','Kugadi',May 4 2015,Miami US,https://www.crunchbase.com/organization/kugadi,3.4m
"'marketing', 'media', 'productivity'",'web app',Privately,No recent company activity detected,18 Sep 19,~728,3,'G Riar',Pre,"'b2c', 'b2b', 'freemium', 'subscription'",13,9,Self,https://www.syrreo.com?ref=startuptracker,"'Syrreo will help you manage items, quotes, orders, and customers in one streamlined service.'",'Syrreo',July 1 2018,BAKERSFIELD US,https://www.crunchbase.com/organization/syrreo,6.4m
"'consulting', 'manufacturing', 'robotics', 'ai'","'desktop app', 'hardware', 'service', 'web app'",Pre,High company activity detected,17 Sep 19,0,5-10,'Gjergj Camaj',Pre,"'b2b', 'subscription'",34,9,Undisclosed,https://www.kineticai.com?ref=startuptracker,"'KineticAI, Inc. is building a modular Factory Analytics and Automation Toolkit for the manufacturing industry.'",'KineticAI',April 30 2019,Indiana US,https://www.crunchbase.com/organization/kineticai,0
